Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
0.7857142857142857,No,Travel_Rarely,Sales,0.17857142857142858,2,Life Sciences,Female,1,Healthcare Representative,Married,0.7773604289062249,0.125,0.0,0,0.03571428571428571,1.0,0.05555555555555555,0.0,0.0,3.0,4.0,2.0,3,3
0.30952380952380953,Yes,Travel_Frequently,Research & Development,0.32142857142857145,1,Life Sciences,Female,1,Research Scientist,Single,0.20417990946739864,0.0,0.8571428571428571,1,0.21428571428571427,0.75,0.2777777777777778,0.14285714285714285,0.2857142857142857,3.0,2.0,4.0,2,4
0.3333333333333333,No,Travel_Frequently,Research & Development,0.5714285714285714,4,Other,Male,4,Sales Executive,Married,1.0,0.125,0.2857142857142857,3,0.17857142857142858,0.5,0.2777777777777778,0.0,0.21428571428571427,2.0,2.0,1.0,3,3
0.47619047619047616,No,Non-Travel,Research & Development,0.03571428571428571,5,Life Sciences,Male,3,Human Resources,Married,0.469485376737616,0.375,0.0,3,0.4642857142857143,1.0,0.4444444444444444,1.0,0.35714285714285715,4.0,4.0,3.0,2,3
0.3333333333333333,No,Travel_Rarely,Research & Development,0.32142857142857145,1,Medical,Male,1,Sales Executive,Single,0.08558862242768628,0.5,0.07142857142857142,2,0.32142857142857145,0.5,0.3333333333333333,0.0,0.2857142857142857,4.0,1.0,3.0,3,3
0.6666666666666666,No,Travel_Rarely,Research & Development,0.25,3,Life Sciences,Female,4,Research Director,Married,0.19660342226074673,0.375,0.14285714285714285,0,1.0,1.0,0.3888888888888889,1.0,0.5,3.0,2.0,2.0,3,3
0.23809523809523808,Yes,Travel_Rarely,Research & Development,0.35714285714285715,2,Medical,Male,2,Sales Executive,Single,0.3084529198369129,0.25,0.6428571428571429,1,0.17857142857142858,0.5,0.0,0.0,0.0,1.0,3.0,1.0,3,4
0.2619047619047619,No,Travel_Rarely,Research & Development,0.6071428571428571,3,Life Sciences,Male,2,Sales Executive,Married,0.13701884490673857,0.25,0.7857142857142857,3,0.35714285714285715,0.5,0.0,0.0,0.0,1.0,2.0,3.0,3,4
0.30952380952380953,No,Travel_Rarely,Research & Development,0.0,3,Life Sciences,Male,3,Laboratory Technician,Married,0.06645478185495522,0.0,0.7142857142857143,0,0.35714285714285715,0.5,0.5,1.0,0.5714285714285714,2.0,4.0,3.0,3,4
0.16666666666666666,No,Non-Travel,Research & Development,0.21428571428571427,4,Medical,Female,4,Laboratory Technician,Divorced,0.799704645413978,0.125,0.14285714285714285,1,0.21428571428571427,0.5,0.3333333333333333,0.14285714285714285,0.35714285714285715,2.0,1.0,3.0,3,3
